# Query results from Simbad:
# http://simbad.u-strasbg.fr/simbad/sim-ref?bibcode=1850CDT..1784..227M&simbo=on
#
#Identifier,Otype,"ICRS (J2000) RA","ICRS (J2000) DEC",Mag U,Mag B,Mag V,Mag R,Mag I,Sp type,"#ref 1850 - 2017"
Cl Melotte 22,OpC,03 47 00,+24 07.0,,,,,,,2661
IC 4725,OpC,18 31 47,-19 07.0,,5.29,4.6,,,,173
M 1,SNR,05 34 31.94,+22 00 52.2,,,,,,,5125
M 2,GlC,21 33 27.02,-00 49 23.7,,,6.25,,,,763
M 3,GlC,13 42 11.62,+28 22 38.2,,,6.39,,,,2086
M 4,GlC,16 23 35.22,-26 31 32.7,,,,,,,1487
M 5,GlC,15 18 33.22,+02 04 51.7,,7.34,5.95,,,,1597
M 8,HII,18 03 37,-24 23.2,,,,,,,511
M 9,GlC,17 19 11.78,-18 30 58.5,,9.36,8.42,,,,238
M 10,GlC,16 57 09.05,-04 06 01.1,,,4.98,,,,582
M 11,OpC,18 51 05,-06 16.2,,6.32,5.8,,,,317
M 12,GlC,16 47 14.18,-01 56 54.7,,8.52,6.07,,,,492
M 13,GlC,16 41 41.634,+36 27 40.75,,,5.8,,,,1836
M 14,GlC,17 37 36.15,-03 14 45.3,,9.55,5.73,,,,271
M 15,GlC,21 29 58.33,+12 10 01.2,,3,,,,,2688
M 16,OpC,18 18 48,-13 48.4,,6.58,6,,,,857
M 18,OpC,18 19 58,-17 06.1,,7.24,6.9,,,,64
M 19,GlC,17 02 37.69,-26 16 04.6,,8.45,5.57,,,,248
M 20,OpC,18 02 42,-22 58.3,,,,,,,356
M 21,OpC,18 04 13,-22 29.4,,,,,,,116
M 22,GlC,18 36 23.94,-23 54 17.1,,7.16,6.17,,,,1067
M 23,OpC,17 57 04,-18 59.1,,6.03,5.5,,,,94
M 24,As*,18 16.8,-18 33,,,,,,,54
M 26,OpC,18 45 18,-09 23.0,,8,8.87,,,,81
M 27,PN,19 59 36.379,+22 43 15.75,,13.749,14.089,14.247,14.405,DAO.6,545
M 28,GlC,18 24 32.89,-24 52 11.4,,,,,,,577
M 29,OpC,20 23 56,+38 31.4,,7.3,6.6,,,,207
M 30,GlC,21 40 22.12,-23 10 47.5,,,7.1,,,,799
M 31,G,00 42 44.330,+41 16 07.50,4.86,4.36,3.44,,,,9552
M 32,IG,00 42 41.825,+40 51 54.61,9.51,9.03,8.08,,,,1856
M 33,GiG,01 33 50.904,+30 39 35.79,6.17,6.27,5.72,,,,4646
M 34,OpC,02 42 05,+42 45.7,,5.37,5.2,,,,327
M 35,OpC,06 08 54,+24 20.0,,5.31,5.1,,,,406
M 36,OpC,05 36 18,+34 08.4,,6.09,6,,,,141
M 37,OpC,05 52 18,+32 33.2,,6.19,5.6,,,,290
M 38,OpC,05 28 43,+35 51.3,,6.69,6.4,,,,113
M 39,OpC,21 31 48,+48 26.0,,4.66,4.6,,,,168
M 41,OpC,06 46 01,-20 45.4,,4.89,4.5,,,,227
M 42,HII,05 35 17.3,-05 23 28,,,,,,,3877
M 43,HII,05 35 31,-05 16.2,,,,,,,137
M 48,OpC,08 13 43,-05 45.0,,6.11,5.8,,,,118
M 49,Sy2,12 29 46.798,+08 00 01.48,,13.21,12.17,,,,1801
M 50,OpC,07 02 47.5,-08 20 16,,6.27,5.9,,,,135
M 51,Sy2,13 29 52.698,+47 11 42.93,,9.26,8.36,8.4,,,3387
M 52,OpC,23 24 48,+61 35.6,,,,,,,158
M 53,GlC,13 12 55.25,+18 10 05.4,,8.95,7.79,,,,624
M 54,GlC,18 55 03.33,-30 28 47.5,,,,,,,757
M 55,GlC,19 39 59.71,-30 57 53.1,,,6.49,,,,667
M 56,GlC,19 16 35.57,+30 11 00.5,,8.9,,,,,304
M 57,PN,18 53 35.079,+33 01 45.03,,15.405,15.769,15.901,16.062,DA(O?),759
M 58,SyG,12 37 43.597,+11 49 05.12,10.8,10.48,9.66,,,,911
M 59,GiG,12 42 02.322,+11 38 48.95,,11,,,,,614
M 60,GiP,12 43 40.008,+11 33 09.40,,10.3,,,,,1152
M 61,Sy2,12 21 54.950,+04 28 24.92,10.07,10.18,9.65,,,,797
M 62,GlC,17 01 12.60,-30 06 44.5,,8.55,7.39,,,F9:,425
M 63,LIN,13 15 49.329,+42 01 45.44,,9.34,8.59,8.35,,,938
M 64,SyG,12 56 43.696,+21 40 57.57,,9.36,8.52,,,,733
M 65,LIN,11 18 55.957,+13 05 31.96,,9.6,,,,,377
M 66,LIN,11 20 15.026,+12 59 28.64,9.85,9.65,8.92,,,,1031
M 68,GlC,12 39 27.98,-26 44 38.6,,10.26,7.96,,,,795
M 69,GlC,18 31 23.10,-32 20 53.1,,9.32,8.31,,,,352
M 70,GlC,18 43 12.76,-32 17 31.6,,9.76,9.06,,,,271
M 71,GlC,19 53 46.49,+18 46 45.1,,7.91,6.1,,,,925
M 72,GlC,20 53 27.70,-12 32 14.3,,9.95,8.96,,,,321
M 73,Cl*,20 59.0,-12 38,,,8.9,,,,30
M 74,G,01 36 41.772,+15 47 00.46,10.52,10,9.46,9.16,,,1200
M 75,GlC,20 06 04.841,-21 55 20.14,,,8.26,,,,260
M 76,PN,01 42 19.69,+51 34 31.7,,,17.48,,17.69,DOZ,348
M 77,Sy2,02 42 40.771,-00 00 47.84,9.7,9.61,8.87,10.1,9.9,,3717
M 78,RNe,05 46 45.8,+00 04 45,,8,,,,,308
M 79,GlC,05 24 10.59,-24 31 27.3,,9.21,8.16,,,,624
M 80,GlC,16 17 02.41,-22 58 33.9,,,,,,,532
M 81,AGN,09 55 33.17306,+69 03 55.0610,,7.89,6.94,,,,3658
M 82,IG,09 55 52.430,+69 40 46.93,9.61,9.3,8.41,,,,4859
M 83,SBG,13 37 00.919,-29 51 56.74,8.85,8.11,7.52,7.21,,,1985
M 84,Sy2,12 25 03.74333,+12 53 13.1393,12.67,12.09,10.49,,,,1525
M 85,IG,12 25 24.053,+18 11 27.89,,10.2,,,,,551
M 86,GiG,12 26 11.814,+12 56 45.49,10.32,9.83,8.9,,7.5,,921
M 87,LIN,12 30 49.42338,+12 23 28.0439,10.16,9.59,8.63,,7.49,,5526
M 88,Sy2,12 31 59.216,+14 25 13.48,,14.33,13.18,,,,683
M 89,LIN,12 35 39.8,+12 33 23,11.29,10.73,9.75,,,,849
M 90,Sy2,12 36 49.816,+13 09 46.33,10.56,10.26,9.54,,,,725
M 91,LIN,12 35 26.430,+14 29 46.75,,14.63,13.57,,,,489
M 92,GlC,17 17 07.39,+43 08 09.4,,,6.52,,,,1771
M 94,SyG,12 50 53.148,+41 07 12.55,9.15,8.96,8.24,7.78,,,1096
M 95,GiP,10 43 57.733,+11 42 13.00,10.71,10.51,9.73,9.48,,M0V,827
M 96,GiP,10 46 45.744,+11 49 11.78,10.42,10.15,9.25,8.99,,,683
M 97,PN,11 14 47.701,+55 01 08.72,,15.414,15.777,15.96,16.194,,317
M 98,LIN,12 13 48.292,+14 54 01.69,11.25,10.95,10.14,,,,419
M 99,H2G,12 18 49.625,+14 24 59.36,10.45,10.44,9.87,,,,672
M 100,AGN,12 22 54.899,+15 49 20.57,10.04,10.05,9.35,,,,1543
M 101,IG,14 03 12.583,+54 20 55.50,,8.46,7.86,7.76,,,2309
M 102,SyG,15 06 29.561,+55 45 47.91,11.12,10.74,9.89,,,,451
M 103,OpC,01 33 23,+60 39.0,,7.72,7.4,,,,177
M 104,LIN,12 39 59.43185,-11 37 22.9954,9.51,9.55,8,8.05,,,1159
M 105,LIN,10 47 49.600,+12 34 53.87,,10.56,9.76,9.12,8.18,,1306
M 106,Sy2,12 18 57.620,+47 18 13.39,,9.14,8.41,8.11,,,1928
M 107,GlC,16 32 31.86,-13 03 13.6,,9.96,8.85,,,,625
M 108,SBG,11 11 30.967,+55 40 26.84,,10.7,,,,,371
M 109,GiG,11 57 35.984,+53 22 28.27,,10.94,,9.57,,,383
M 110,GiG,00 40 22.075,+41 41 07.08,,8.92,8.07,,,,1122
NAME Winnecke 4,**,12 22 12.53,+58 04 58.6,,,,,,,7
NGC 2422,OpC,07 36 35,-14 29.0,,4.42,4.4,,,,179
NGC 2437,OpC,07 41 46,-14 48.6,,6.33,6.1,,,,120
NGC 2447,OpC,07 44 30,-23 51.4,,6.57,6.2,,,,101
NGC 2632,OpC,08 40 24,+19 40.0,,3.46,3.1,,,,1048
NGC 2682,OpC,08 51 18,+11 48.0,,7.6,6.9,,,,1822
NGC 6405,OpC,17 40 20,-32 15.2,,4.48,4.2,,,,147
NGC 6475,OpC,17 53 51,-34 47.6,,3.45,3.3,,,,307
NGC 6618,OpC,18 20 47,-16 10.3,,,,,,,1374
